Country,density,agriculturalLand,landArea,armedForcesSize,birthRate,co2Emissions,fertilityRate,forestedArea,gasolinePrice,gdp,grossPrimaryEducationEnrollment,grossTertiaryEducationEnrollment,infantMortality,lifeExpectancy,maternalMortalityRatio
"Brunei",83,2.7,5765,8,14.9,7664,1.85,67.6,0.37,13469422941,103.2,31.4,9.8,75.7,31
"Bulgaria",64,46.3,110879,31,8.9,41708,1.56,32.7,1.11,86000000000,89.3,71,5.9,74.9,10
"Cabo Verde",138,,4033,1,19,,,,,1981845741,,,16.7,72.8,
"Canada",4,,9984670,72,10.1,544894,1.5,38.2,1.2,1736425629520,,,4.3,81.9,
"Central African Republic",8,8.2,622984,8,35.35,297,4.72,32.9,1.41,2220307369,102,3,84.5,52.8,829
"Chad",13,39.7,1284000,35,42.17,1016,5.75,19.7,0.78,11314951343,86.8,3.3,71.4,54,1140
"Chile",26,,756096,122,12.43,85822,1.65,24,1.1,282318159745,,,6.2,80,
"China",153,,9596960,2695,10.9,9893038,1.6,22.1,1,19910000000000,,,7.4,77,
"Colombia",46,,1138910,481,14.88,97814,,,,323802808108,,,12.2,77.1,
"Congo (Republic)",16,,342000,10,32,,,,,11000000000,,,,,
"Congo (DRC)",39,,2344858,151,41,,,,,47000000000,,,,,
"Costa Rica",100,,51100,10,13.97,8023,,,,61773944174,,,7.6,80.1,
"Comoros",467,71.5,2235,1,31.88,202,4.21,11,,1185728677,99.5,9,51.3,64.1,273
"Croatia",73,27.6,56594,18,9,17488,1.47,31.8,1.26,60415553039,96.5,67.9,4,78.1,8
"Cyprus",131,12.2,9251,16,10.46,6626,1.33,9.8,1.23,24564647935,99.3,75.9,1.9,80.8,6
"Czechia",135,,78866,26,10.1,,,,,250680000000,,,,,
"Djibouti",43,73.4,23200,13,21.47,620,2.73,0.2,1.32,3318716359,75.3,5.3,49.8,66.6,248
"Dominica",96,33.3,751,71,19.51,25258,1.9,50.2,,596033333,114.7,7.2,32.9,76.6,
"Dominican Republic",225,48.7,48670,71,19.51,25258,2.35,35.7,1.07,88941298258,105.7,59.9,24.1,73.9,95
"El Salvador",313,76.4,21041,42,18.25,7169,2.04,6.8,0.83,27022640000,94.8,29.4,11.8,73.1,46
"Equatorial Guinea",50,10.1,28051,1,33.24,5655,4.51,49.8,,11026774945,61.8,1.9,62.6,58.4,301
"Eritrea",35,75.2,117600,202,30.3,711,4.06,8,2,2065001626,68.4,3.4,31.3,65.9,480
"Eswatini",67,,17364,3,23.5,1070,,,,3791304348,,,41.1,64,
"Ethiopia",115,36.3,1104300,138,32.34,1487,4.25,3.8,0.75,96107662398,101,8.1,39.1,66.2,401
"Fiji",49,23.3,18274,4,21.28,2046,2.77,50,0.82,5535548972,106.4,16.1,21.6,67.3,34
"Finland",18,7.5,338145,25,8.6,45871,1.41,68.9,1.45,268761201365,100.2,88.2,1.4,81.7,3
"France",119,52.4,643801,307,11.3,303276,1.88,22.6,1.39,2715518274227,102.5,65.6,3.4,82.5,8
"Gabon",9,20,267667,7,31.61,5321,3.97,90,0.92,16657960228,139.9,8.3,32.7,66.2,252
"Gambia",,,,1,38.54,532,,,,1763819048,,,39,61.7,
"Georgia",57,34.5,69700,26,13.47,10128,2.06,35.4,0.76,17743195770,98.6,63.9,8.7,73.6,25
"Germany",240,47.7,357022,180,9.5,727973,1.56,25.9,1.39,3845630030824,104,70.2,3.1,80.9,7
"Ghana",137,69,238533,16,29.41,1667,3.87,35.6,0.92,66983634224,104.8,15.7,34.9,63.8,308
"Greece",81,47.6,131957,146,8.1,62434,1.35,23.1,1.54,209852761469,99.6,136.6,3.6,81.3,3
"Grenada",331,23.5,349,0,16.47,268,2.06,43.1,1.12,1228170370,106.9,104.6,13.7,72.4,25
"Guatemala",167,36,108889,43,24.56,16777,2.87,25.8,0.79,76710385880,101.9,21.8,22.1,74.1,95
"Guinea",53,59,245857,13,36.36,2996,4.7,14.9,0.9,13590281809,91.5,11.6,64.9,61.2,576
"Guinea-Bissau",70,58,36125,4,35.13,293,4.48,61.5,,1340389411,118.7,2.6,54,58,667
